property_id,abstract_time,total_time,size,1_1
16,,3600,,
17,,3600,,
18,14.10421753,1480.99208,910,
19,,3600,,
property_id,abstract_time,total_time,size,5_1
0,11.36955295,1654.785734,910,
1,21.33528639,1607.002524,901,
2,10.65290898,1409.535941,910,
3,,3600,,
4,12.89376673,1503.137925,910,
5,14.83672865,1546.153005,910,
6,15.86261769,1621.369745,910,
7,,3600,,
8,18.41591339,1465.302816,724,
9,13.61485522,1885.359735,900,
10,14.40369676,2098.420878,765,
11,11.72634585,1738.181148,708,
12,14.0063042,1697.483909,910,
13,16.53187842,1968.797775,910,
14,16.43606471,1513.929959,875,
15,15.04688049,700.7582,874,
16,,3600,,
17,13.96868065,3279.537458,798,
18,17.69772385,1310.938797,819,
19,15.11293638,2175.839941,910,
property_id,abstract_time,total_time,size,5_2
0,13.71771691,16.26352038,72,
1,17.05903469,18.85734257,72,
2,20.09730951,23.23327075,72,
3,16.94962963,19.08671532,72,
4,19.33867097,21.91396776,72,
5,9.84538162,12.15289842,72,
6,14.40799944,16.59569498,72,
7,14.52376965,16.42907547,72,
8,12.10224448,14.11837547,72,
9,15.66094567,18.11896531,72,
10,18.40369593,19.96615768,72,
11,16.57419177,18.93317343,72,
12,12.71828605,13.77892871,72,
13,14.845795,17.61511597,72,
14,17.09113829,18.79861433,72,
15,15.50848341,16.52379039,72,
16,17.42778834,19.25031108,72,
17,22.33136084,24.59501296,72,
18,14.26184362,16.43457852,72,
19,22.1679464,23.64577895,72,
property_id,abstract_time,total_time,size,5_3
0,14.15528352,1588.761218,910,
1,15.73391313,1530.858921,910,
2,8.544257955,1913.454814,727,
3,17.69401705,1458.628263,841,
4,22.12479508,1390.947269,890,
5,15.03180318,1574.29388,828,
6,13.09016867,1732.894407,910,
7,,3600,,
8,14.56537629,1674.185967,847,
9,15.35519079,1327.444625,910,
10,,3600,,
11,17.20602721,2033.61145,910,
12,15.32553856,2079.141861,910,
13,14.68170236,1548.563367,910,
14,13.76309807,1449.826121,910,
15,17.07166807,1633.526562,910,
16,19.64213856,1544.267886,780,
17,16.16607688,1538.156365,910,
18,12.36599199,1491.420123,843,
19,,3600,,
property_id,abstract_time,total_time,size,5_4
0,15.1214332,2292.971967,858,
1,,3600,,
2,10.68710734,1464.517071,880,
3,20.21037464,1559.440941,910,
4,15.70401106,1412.661609,824,
5,8.745719334,2706.489529,910,
6,12.7387961,2410.679144,910,
7,,3600,,
8,17.17344071,1866.033085,910,
9,22.16819861,1451.903031,897,
10,,3600,,
11,,3600,,
12,19.60257366,3599.584014,906,
13,17.52602582,1239.983813,910,
14,12.92624428,1852.503863,910,
15,15.18361841,1509.679813,910,
16,15.5980228,1565.591909,910,
17,16.01824757,1544.063716,850,
18,22.00460676,1506.29152,878,
19,,3600,,
property_id,abstract_time,total_time,size,5_5
0,14.66524355,1707.398429,879,
1,,3600,,
2,19.97767382,2046.339704,908,
3,,3600,,
4,13.19954486,1533.449462,910,
5,,3600,,
6,16.38188886,1398.5013,887,
7,,3600,,
8,21.56197989,1814.08276,702,
9,12.812365,2526.368011,821,
10,,3600,,
11,16.32023801,1735.350375,910,
12,13.58743265,2698.896944,910,
13,17.6404364,3009.773882,873,
14,15.14672208,1529.041644,910,
15,12.5513426,1514.725705,910,
16,21.27286233,1658.591738,910,
17,17.39389969,1509.949529,782,
18,,3600,,
19,17.5410082,3054.100456,910,
property_id,abstract_time,total_time,size,5_6
0,,3600,,
1,15.9048525,1658.08202,910,
2,22.52206209,1571.724101,910,
3,,3600,,
4,20.22532186,1747.765381,910,
5,15.49886872,1520.459175,910,
6,14.80161839,1304.631078,910,
7,,3600,,
8,14.99193517,1854.695868,910,
9,20.96050494,1482.839804,910,
10,,3600,,
11,15.54123303,1077.927416,910,
12,17.84164742,2233.016899,910,
13,,3600,,
14,15.19197318,1431.664911,899,
15,17.0776046,1821.648355,768,
16,18.42007202,1861.487227,816,
17,,3600,,
18,13.42913556,2688.638361,910,
19,11.5132853,1607.889909,910,
property_id,abstract_time,total_time,size,5_7
0,11.71854359,1274.814152,910,
1,15.87871148,1441.058152,862,
2,17.30047842,1612.519203,836,
3,14.32286386,2718.344213,910,
4,15.35151963,1919.346849,910,
5,18.37398604,2397.359765,910,
6,15.69723632,1577.576248,873,
7,,3600,,
8,15.00751649,1570.176316,880,
