property_id,abstract_time,total_time,size,1_1
8,42.83508825,1276.993714,910,
9,,3600,,
10,39.79195142,851.1025362,906,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,41.70837355,1324.669531,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,5_8
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,,3600,,
5,39.80541992,1799.079224,907,
6,0,2.286457777,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,41.94592857,3046.481719,906,
14,,3600,,
15,,3600,,
16,,3600,,
17,39.61713934,1537.032319,907,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,5_9
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,,3600,,
5,,3600,,
6,42.03051114,1621.799943,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,39.49078727,2041.789335,910,
14,41.14609885,3457.527951,908,
15,,3600,,
16,,3600,,
17,,3600,,
18,,3600,,
19,,3600,,
